typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1038790","false","-1","N/A",,"false","1038790","false",,"false","12728188",,"12728188","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","740010","false","-1","N/A",,"false","740010","false",,"false",,"7364008","7364008","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8655739","false","-1","N/A",,"false","8655739","false",,"false","49221799",,"49221799","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1689987","false","-1","N/A",,"false","1689987","false",,"false",,"15484096","15484096","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2690626","false","-1","N/A",,"false","2690626","false",,"false","4446307",,"4446307","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","616352","false","-1","N/A",,"false","616352","false",,"false",,"2485348","2485348","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2676769","false","-1","N/A",,"false","2676769","false",,"false","13171694",,"13171694","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","655472","false","-1","N/A",,"false","655472","false",,"false",,"3050756","3050756","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20436","false","-1","N/A",,"false","20436","false",,"false","350064",,"350064","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2039200","false","-1","N/A",,"false","2039200","false",,"false",,"5625530","5625530","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4294198","false","-1","N/A",,"false","4294198","false",,"false","26394654",,"26394654","0","true","false",
"C","A","19890101","1989","52","1989","392","JPN","Japan","X","Export","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3402573","false","-1","N/A",,"false","3402573","false",,"false",,"24099953","24099953","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","924810","false","-1","N/A",,"false","924810","false",,"false","9935752",,"9935752","0","true","false",
"C","A","19890101","1989","52","1989","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","801922","false","-1","N/A",,"false","801922","false",,"false",,"3489060","3489060","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","M","Import","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22670","false","-1","N/A",,"false","22670","false",,"false","956266",,"956266","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","412207","false","-1","N/A",,"false","412207","false",,"false",,"5850873","5850873","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","M","Import","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","97250","false","-1","N/A",,"false","97250","false",,"false","3230883",,"3230883","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3242894","false","-1","N/A",,"false","3242894","false",,"false",,"27280772","27280772","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","966298","false","-1","N/A",,"false","966298","false",,"false",,"2891589","2891589","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","M","Import","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6687","false","-1","N/A",,"false","6687","false",,"false","128456",,"128456","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8513896","false","-1","N/A",,"false","8513896","false",,"false",,"29124104","29124104","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","M","Import","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4484","false","-1","N/A",,"false","4484","false",,"false","52445",,"52445","0","true","false",
"C","A","19890101","1989","52","1989","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5200069","false","-1","N/A",,"false","5200069","false",,"false",,"16680552","16680552","0","true","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200942","false","-1","N/A",,"true","200942","false",,"false","6162970",,"6162970","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3303","Perfumes and toilet waters","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","95396","false","-1","N/A",,"true","95396","false",,"false",,"2141139","2141139","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","252323","false","-1","N/A",,"true","252323","false",,"false","2866346",,"2866346","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","448262","false","-1","N/A",,"true","448262","false",,"false",,"2528675","2528675","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","452778","false","-1","N/A",,"true","452778","false",,"false","1633101",,"1633101","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3305","Hair preparations; for use on the hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","646478","false","-1","N/A",,"true","646478","false",,"false",,"1322662","1322662","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","53685","false","-1","N/A",,"true","53685","false",,"false","504796",,"504796","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","3306","Oral or dental hygiene preparations; including fixative pastes and powders","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1620435","false","-1","N/A",,"true","1620435","false",,"false",,"5583662","5583662","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","3307","Perfumery, cosmetic or toilet preparations; pre-shave, shaving, after-shave, bath preparations; personal deodorants and depilatories; room deodorisers, perfumed or not with disinfectant properties or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","133031","false","-1","N/A",,"true","133031","false",,"false","1212269",,"1212269","0","false","false",
