country,series,breakpoint,b1,b2,intercept1,intercept2,delta_b,f_stat,p_value,n_obs,sse_single,sse_two,ci_lower,ci_upper,bootstrap_samples
brazil,Beauty,12238.47834409658,13.575911577739559,3.955502868240389,-127.8002330276737,-37.43062465828808,-9.62040870949917,50.720061657968444,5.2920216758999353e-08,35,3.306611497499208,1.2543426221519534,11945.130330075735,14853.033449898485,1000
brazil,Skincare,12238.47834409658,15.401426327887453,6.362074255427823,-145.7363223941935,-61.536845889259325,-9.03935207245963,54.592248146937315,2.5502790539295703e-08,35,4.40204341398999,1.5943423474450782,11975.393565205652,15165.94972426406,1000
brazil,Mens Wear,12238.47834409658,4.8431193140491935,6.08342594229669,-46.28818582297709,-58.61689506225479,1.2403066282474962,9.238226432801168,0.004784299674922435,35,4.789687469039022,3.6900312141782754,11975.393565205652,15900.425927534703,1000
brazil,Womens Wear,15238.47834409658,1.9827347942365632,3.6464827853765422,-19.292849135036725,-34.79023295945805,1.663747991139979,15.691236203716542,0.00040684058255300546,35,2.735525562338816,1.8162143332960898,12020.788417900527,15361.20029422752,1000
china,Beauty,4492.877331105099,1.350225293028492,2.078182715989189,-12.789979138279078,-18.552556847496096,0.7279574229606969,10.297739516071424,0.0032429098149117466,33,1.4707834612022606,1.085373380253133,3230.3135802390057,15449.619434591983,1000
china,Skincare,12492.877331105099,2.3794439921589015,2.6910312845340663,-21.619461479747116,-24.154667026486216,0.3115872923751648,12.339661814060367,0.0014740413620594986,33,2.3786220575893022,1.6686164482997392,3492.8773311050986,15274.1747511096,1000
china,Mens Wear,12492.877331105099,0.8427485092138163,-1.073371904325617,-5.692345543381761,12.269916057336694,-1.9161204135394332,105.86834422280816,3.442576836688833e-11,33,2.321841118185178,0.4992527550878253,5449.619434591982,13493.967000883988,1000
china,Womens Wear,12492.877331105099,1.1941270734388436,-0.6819506947298919,-8.326264374297352,9.245992074529958,-1.8760777681687355,109.6553370828941,2.2961876569127728e-11,33,2.2734735614095634,0.475500869046686,5994.8800657660295,13665.908917157565,1000
france,Beauty,41531.804057276124,0.1315324806355065,1.9121020540959752,3.0477385301913102,-15.568166803053327,1.7805695734604687,53.424309463708255,7.3191201244846e-08,31,0.3613557593202482,0.12131413457829443,40531.804057276124,43758.72338047786,998
france,Skincare,41531.804057276124,0.3987196110341955,4.067492421543702,-0.5707096476508298,-39.17055525613292,3.6687728105095063,81.25395882299084,1.2534480876819819e-09,31,0.6987735977385379,0.17428357673080863,40531.804057276124,44525.418434501524,998
france,Womens Wear,41531.804057276124,1.015528281942057,0.28841000018172636,-6.61683823350063,1.3930611445015164,-0.7271182817603307,39.523689734615864,9.972493190258957e-07,31,0.2793586707690074,0.11338342988570481,40719.48374410316,43758.72338047786,1000
germany,Beauty,44420.335065551226,3.648148274297297,0.7952474502702649,-35.21579635648155,-4.2369394172985935,-2.852900824027032,54.84610730834474,2.983290284841472e-08,34,0.9999091101195675,0.3535491993117844,44253.886795183724,51283.80089396918,1000
germany,Skincare,44420.335065551226,2.9492948388255327,1.7337433355642058,-28.477866329546387,-15.00412349914113,-1.2155515032613269,58.36030304710955,1.607159651160055e-08,34,0.7421582205212379,0.2519768023403748,43841.314348461936,48247.539621484335,1000
germany,Mens Wear,44420.335065551226,-1.7016433536446893,0.44599466769834706,22.209012903258156,-0.4647518795225096,2.1476380213430364,41.286600743019505,4.2724219329277865e-07,34,0.5341090643700037,0.22477256264276474,44050.074560174704,48093.362097954916,894
india,Beauty,4049.306351813216,1.3957144082775348,0.924059882158909,-13.198555176840596,-8.950054810339562,-0.4716545261186258,6.971152098248472,0.012853604164231314,35,1.5894227142308868,1.2976194141717998,2921.9396003869824,6201.9898255899525,1000
india,Skincare,3049.306351813216,0.3834685467778609,2.383947829297439,-6.825222348643997,-22.443400012644386,2.0004792825195783,8.253007396619322,0.007280082561213821,35,5.432774839570711,4.290525266637198,2921.9396003869824,6197.941173290037,1000
india,Mens Wear,4049.306351813216,2.4036592197159,0.415602076042463,-20.49308882636511,-4.099568478376232,-1.9880571436734369,99.0802177006642,3.578253871612713e-11,35,2.29370959275025,0.5466242187484798,2921.9396003869824,5425.074199746794,1000
india,Womens Wear,5049.306351813217,0.8387499762050379,-0.38207465835310517,-6.942498784366778,3.5146002834041528,-1.220824634558143,27.59468573948808,1.0394894787762308e-05,35,0.8464722800412708,0.4478331157529415,3049.306351813216,6216.395432198393,1000
japan,Beauty,36898.4552225838,7.661304395327281,4.50202355732978,-77.75887342993398,-44.38733191004606,-3.1592808379975006,1.714416681845397,0.20003551999653535,35,1.4832279884716306,1.4054986243461531,33901.11928300241,38549.04672060959,1000
japan,Skincare,35898.4552225838,7.867646393097161,7.475372622431427,-79.958311251618,-75.95036990576163,-0.3922737706657333,0.7758477319689515,0.38519224535047036,35,1.3565134444987914,1.3233924436626459,33647.446113577535,38647.85300520537,1000
mexico,Beauty,17514.14347342035,11.252565177985598,7.456567800576295,-107.8152992070494,-70.88811214668986,-3.7959973774093037,3.244606684256264,0.08139384054221264,35,3.432171581955442,3.1069803201896367,16368.7224984968,18524.89087956774,977
mexico,Skincare,17514.14347342035,8.967029779121713,7.379721293157837,-86.23120145538745,-70.90615267299887,-1.5873084859638764,4.312381727537385,0.046214562034963914,35,1.3014560692473673,1.1425210131098675,16276.5518068355,18372.125843776805,982
russia,Beauty,26779.9953896945,2.518366936108194,1.06363878672175,-23.768437346143116,-8.613262304424964,-1.454728149386444,1.9599276308844689,0.17546575684119967,26,1.5063609082313587,1.3831402369668404,18682.740766478204,30779.9953896945,500
russia,Skincare,26779.9953896945,3.388366442916021,0.95260050429758,-32.88438271204336,-7.761340192754801,-2.435765938618441,2.693787684230387,0.11496011102315484,26,1.941843832473063,1.7300126193961332,18779.9953896945,30511.417380942014,498
russia,Mens Wear,26779.9953896945,1.5134947513683747,4.476092649616943,-15.18858029754123,-44.71726744613724,2.962597898248568,37.36298251906656,3.7514043290478257e-06,26,2.4577961116548557,0.9108624964899601,18613.147122420713,30672.63520095481,498
russia,Womens Wear,26779.9953896945,2.280037337187332,3.648318265075421,-22.574246269913118,-35.45992904413458,1.368280927888089,22.60182887638562,9.570910738345751e-05,26,3.9882264037123663,1.967205899221016,18931.364320284665,30841.59850246518,497
south korea,Beauty,36086.54812138056,2.584315115575059,4.055491429507555,-23.871809921571554,-38.828988965542266,1.4711763139324958,54.832842207076865,2.990411704206142e-08,34,2.3169176210204134,0.8193469277021818,25086.548121380558,36929.18583686837,1000
south korea,Skincare,25086.548121380558,3.119784802199429,4.048924230203875,-28.963724246870925,-38.887369525246605,0.9291394280044458,19.14132417303939,0.00013500894368256972,34,1.6242691131594338,0.9915905648614349,18918.521254977426,36928.74341934106,1000
south korea,Mens Wear,21086.548121380558,-0.3710838624931938,1.0270207585386268,5.975011878585686,-7.810995265762978,1.3981046210318206,15.210370667534757,0.0005021846824025592,34,1.2742964377824098,0.8455779629545083,18491.16760174103,35086.54812138056,999
south korea,Womens Wear,23086.548121380558,-0.18403884023134554,1.1165865672556023,4.515059590817424,-8.427657467961403,1.3006254074869479,43.29406485770769,2.791883940100082e-07,34,0.8100189033251582,0.33154890708997525,18918.521254977426,33300.63548641214,1000
united kingdom,Beauty,42893.44378414112,2.5925029695460835,7.260438808242938,-23.25392778065176,-73.14903937277774,4.667935838696854,5.722923662789043,0.02369868198512409,32,0.9966888358560755,0.8275464987267374,36290.90142739011,44361.88583084252,1000
united kingdom,Skincare,39893.44378414112,2.4537461155747113,4.852483384601037,-22.627030234486668,-47.743184575603394,2.3987372690263253,8.900787322551103,0.005852380271879706,32,1.273130940946443,0.9660408065254239,38221.18472671498,44361.64338386808,1000
united kingdom,Mens Wear,42893.44378414112,2.098214303231041,3.024170728477074,-18.259383158949586,-28.274552422798877,0.9259564252460328,1.617445922419741,0.2139105685535484,32,0.9011400058414735,0.8519276182576317,38893.44378414112,44424.74259365064,990
united kingdom,Womens Wear,41893.44378414112,3.441068879018218,2.4030525762532307,-31.82156264449629,-20.903220381311115,-1.0380163027649871,4.22423905556602,0.049285370804773763,32,0.9952452449381057,0.8647796712969574,39224.99476829635,44371.341262845424,998
usa,Beauty,55776.28041227394,3.4374155730015783,1.2845539675788729,-34.275468638888505,-10.409363670102067,-2.1528616054227054,23.659399322741276,3.418752672481475e-05,34,0.5903958409602921,0.3300796403306425,45833.8030338738,56777.718477813934,1000
usa,Skincare,55776.28041227394,4.296186105768719,1.2121734394255945,-44.1400821640591,-10.067141405186732,-3.084012666343124,35.497412818127465,1.5681785369202068e-06,34,0.6510405817635447,0.2981983045214385,45597.37640115601,56920.29935794775,1000
