beta,se,pvalue,n_obs,intercept,intercept_se,intercept_ci,country,series
2.4810488929717422,0.14336790370376973,4.2777932149686865e-67,35.0,-23.132254538870285,1.379008579874609,[-25.83506169 -20.42944739],brazil,Beauty
1.6747139465187997,0.07228573517971947,9.580478865953829e-119,35.0,-15.72618450740253,0.7010605254861214,[-17.10023789 -14.35213113],brazil,Skincare
1.6649130397088023,0.18855611492294916,1.048617865603555e-18,35.0,-15.51527371014591,1.816481221115691,[-19.07551148 -11.95503594],brazil,Mens Wear
1.7750762042139971,0.1668982641665979,2.033442380464633e-26,35.0,-16.493697591923965,1.6042606430181128,[-19.63799067 -13.34940451],brazil,Womens Wear
0.9265899082770073,0.07495571233755993,4.204647382444722e-35,33.0,-7.446554303791369,0.6663747756092389,[-8.75262486 -6.14048374],china,Beauty
1.0710161035858303,0.10411742726687644,8.097132460473188e-25,33.0,-8.725969519794301,0.918729906426481,[-10.52664705  -6.92529199],china,Skincare
0.41800074052600794,0.053026701145045915,3.2003532070804363e-15,33.0,-1.9838162809963693,0.4511312937699803,[-2.86801737 -1.09961519],china,Mens Wear
0.7464839196785555,0.05583779336257909,9.202155151351587e-41,33.0,-4.5162055953005575,0.47631223170021886,[-5.44976041 -3.58265078],china,Womens Wear
2.3561860320029013,0.23409400373168027,7.878505455493924e-24,31.0,-20.662218002274507,2.5365941632723477,[-25.63385121 -15.6905848 ],france,Beauty
3.8348008393916677,0.36580761655728444,1.0329205604111501e-25,31.0,-37.227938266346825,3.9629185583504274,[-44.99511591 -29.46076062],france,Skincare
0.4457860337088575,0.16174976853878045,0.005850893638220923,31.0,-1.056509716008886,1.7487529434110312,[-4.4840025   2.37098307],france,Mens Wear
1.9586247187538866,0.17674679737202056,1.5421660101694924e-28,31.0,-16.7581641724904,1.9046215278101801,[-20.49115377 -13.02517457],france,Womens Wear
3.2618869432239075,0.21132264788063473,9.435322636982398e-54,34.0,-31.460831538593215,2.2991584817696755,[-35.96709936 -26.95456372],germany,Beauty
3.6468538643366357,0.1422510447339419,5.9425523712351504e-145,34.0,-36.2690848658506,1.5525243123674963,[-39.3119766  -33.22619313],germany,Skincare
0.8158380758857164,0.1636713048098313,6.208602719061297e-07,34.0,-4.6039962536031105,1.7905169414019177,[-8.11334497 -1.09464753],germany,Mens Wear
0.5201015956218871,0.2231673745710695,0.01977736768892662,34.0,-0.9676481229331113,2.444792040840923,[-5.75935247  3.82405623],germany,Womens Wear
0.26615569498730773,0.02582756228700538,6.681991504754055e-25,35.0,-2.0145341751859362,0.21218717894456868,[-2.4304134  -1.59865495],india,Beauty
0.19584672295819247,0.04372296078273251,7.490053960352925e-06,35.0,-1.538302862580358,0.3559670825816689,[-2.23598552 -0.8406202 ],india,Skincare
0.32625692684200547,0.025842119653918534,1.5372888970126247e-36,35.0,-2.4002971624062046,0.20998083028145004,[-2.81185203 -1.9887423 ],india,Mens Wear
0.25502604635790604,0.02735847235316901,1.1454718120348646e-20,35.0,-1.492031994150875,0.2234512779297551,[-1.92998845 -1.05407554],india,Womens Wear
6.934293438871776,0.47023067345563896,3.236636709921395e-49,35.0,-70.9947859705965,4.968445953388809,[-80.7327611  -61.25681084],japan,Beauty
6.448289823031964,0.4481398022794287,6.065459357155172e-47,35.0,-65.92868132197036,4.736488368166636,[-75.21202794 -56.64533471],japan,Skincare
